C 50-43-43-27-64-000-2080-001    208 514000 0 514000 RES 
M 50-43-43-23-08-000-0060-001    2D 514000 0 514000 RES 
S 50-43-44-23-10-002-5040-001    504 514000 0 514000 RES 
N 50-43-43-03-03-000-0010-001     539364 25000 514364 RES 
M 50-43-43-22-18-001-4210-001    B-421 539380 25000 514380 RES 
M 50-43-43-22-07-000-5030-001     539462 25000 514462 RES 
N 50-43-43-14-02-000-0060-001     539841 25000 514841 RES 
M 50-43-43-23-15-000-0130-001    A3 515000 0 515000 RES 
S 50-43-44-15-24-000-0020-001    2 515000 0 515000 RES 
S 50-43-44-15-29-000-0020-001    2 515000 0 515000 RES 
S 50-43-44-35-19-001-0043-001    4C-I 540000 25000 515000 RES 
M 50-43-43-22-06-000-0340-001     540418 25000 515418 RES 
S 50-43-44-23-06-001-2030-001    203N 516000 0 516000 RES 
S 50-43-44-23-06-001-4040-001    404 516000 0 516000 RES 
S 50-43-44-23-06-003-2020-001    202 516000 0 516000 RES 
M 50-43-43-22-17-000-0350-001    PH-B 541225 25000 516225 RES 
C 50-43-43-26-11-000-0024-001    2-D 542000 25500 516500 RES 
M 50-43-43-14-21-000-3190-001    R-319 517000 0 517000 RES 
S 50-43-44-15-29-000-0050-001    050 517000 0 517000 RES 
S 50-43-44-23-05-003-1030-001    103E 517000 0 517000 RES 
S 50-43-44-35-05-001-5010-001    501 517000 0 517000 RES 
S 50-43-44-26-05-001-4020-001    402N 542656 25000 517656 RES 
C 50-43-43-27-63-000-4070-001     518000 0 518000 RES 
M 50-43-43-14-21-004-4130-001    R-413 543000 25000 518000 RES 
S 50-43-44-14-04-000-9090-001    909 518000 0 518000 RES 
S 50-43-44-14-04-000-9170-001    917 518000 0 518000 RES 
S 50-43-44-23-06-002-5030-001    503S 543000 25000 518000 RES 
M 50-43-43-22-08-000-7821-001     543336 25000 518336 RES 
M 50-43-43-14-21-000-4060-001    R-406 543711 25000 518711 RES 
C 50-43-43-26-17-000-0043-001    4-C 519000 0 519000 RES 
C 50-43-43-26-17-000-0044-001    4-D 519000 0 519000 RES 
M 50-43-43-14-21-000-4180-001    R-418 519000 0 519000 RES 
M 50-43-43-14-21-004-4150-001    R-415 519000 0 519000 RES 
M 50-43-43-14-23-000-6110-001    611 519000 0 519000 RES 
M 50-43-43-23-08-000-0070-001    3A 519000 0 519000 RES 
S 50-43-44-23-10-002-5030-001    PH-3S 519000 0 519000 RES 
N 50-43-43-03-12-000-0850-001     544058 25000 519058 RES 
C 50-43-43-26-05-000-5020-001    502 544799 25000 519799 RES 
S 50-43-44-35-13-001-0028-001    2H-I 520000 0 520000 RES 
S 50-43-44-35-13-001-0037-001    3G-I 520000 0 520000 RES 
S 50-43-44-35-13-002-0037-001    3G-II 520000 0 520000 RES 
S 50-43-44-35-18-001-6050-001    605N 521000 0 521000 RES 
S 50-43-44-35-18-001-6080-001    608N 521000 0 521000 RES 
S 50-43-44-35-19-002-0062-001    6B-II 546000 25000 521000 RES 
S 50-43-44-26-05-002-3050-001    305S 546354 25000 521354 RES 
M 50-43-43-15-05-000-0060-001     521561 0 521561 RES 
M 50-43-43-14-10-002-0060-001     546904 25000 521904 RES 
C 50-43-44-11-05-001-3050-001    305 546925 25000 521925 RES 
C 50-43-44-11-05-002-3050-001    305 546925 25000 521925 RES 
C 50-43-43-26-19-000-0040-001    4 547000 25000 522000 RES 
M 50-43-43-14-21-000-6190-001    619 547000 25000 522000 RES 
S 50-43-44-23-06-002-4060-001    406 522000 0 522000 RES 
S 50-43-44-35-18-001-2040-001    204N 522000 0 522000 RES 
N 50-43-42-34-08-000-0230-001     547031 25000 522031 RES 
M 50-43-43-15-27-000-0209-001    209-N 547890 25000 522890 RES 
C 50-43-44-11-05-001-4050-001    405 547994 25000 522994 RES 
C 50-43-44-11-05-002-4050-001    405 547994 25000 522994 RES 
S 50-43-44-23-11-000-8030-001    803 523000 0 523000 RES 
M 50-43-43-23-12-000-0046-001    F-4 548055 25000 523055 RES 
