N 50-43-42-34-03-000-0660-001     993195 25000 968195 RES 
M 50-43-43-14-10-004-0140-001     968509 0 968509 RES 
C 50-43-43-27-63-000-6030-001    PH-C 969000 0 969000 RES 
M 50-43-43-14-07-000-0510-001     994555 25000 969555 RES 
M 50-43-43-15-27-000-0513-001    513-D 970000 0 970000 RES 
N 50-43-43-03-14-000-0091-001    $ DUE FIN. 995132 25000 970132 RES 
M 50-43-43-15-27-000-0201-001    201-A 971000 0 971000 RES 
N 50-43-42-34-11-000-0141-001     996800 25500 971300 RES 
C 50-43-43-27-71-001-1180-001    C-118S 972361 0 972361 RES 
M 50-43-43-15-34-000-3020-001    302 997545 25000 972545 RES 
N 50-43-43-14-06-000-0530-001     997978 25000 972978 RES 
C 50-43-44-11-05-001-1060-001    106N 998000 25000 973000 RES 
C 50-43-44-11-05-002-1040-001    104 998000 25000 973000 RES 
S 50-43-44-23-07-003-0022-001    3-B-2 973000 0 973000 RES 
N 50-43-43-03-20-000-0530-001     998421 25000 973421 RES 
S 50-43-44-15-24-000-0220-001    TOW.STE.E. 974000 0 974000 RES 
S 50-43-44-15-29-000-0230-001    TOWR STE W 974000 0 974000 RES 
S 50-43-44-23-09-002-0015-001    2A5 974000 0 974000 RES 
C 50-43-43-27-67-000-6010-001    PH-A 999652 25000 974652 RES 
M 50-43-43-15-34-000-4030-001    403 1000339 25000 975339 RES 
M 50-43-43-22-01-001-0121-001     1001466 25500 975966 RES 
C 50-43-44-11-05-001-4090-001    409N 1003195 25500 977695 RES 
N 50-43-43-03-16-000-0120-001     1002738 25000 977738 RES 
S 50-43-44-23-18-001-2030-001    203N/CABC1 1002965 25000 977965 RES 
M 50-43-43-23-05-012-0213-001    2 MAJ ALL 978304 0 978304 RES 
M 50-43-43-14-12-000-0100-001     978426 0 978426 RES 
M 50-43-43-15-35-000-3080-001    308 980000 0 980000 RES 
M 50-43-43-23-05-016-0090-001     981945 0 981945 RES 
M 50-43-43-14-21-000-3060-001    R-306 984000 0 984000 RES 
M 50-43-43-14-21-000-3070-001    R-307 984000 0 984000 RES 
M 50-43-43-15-30-000-2010-001    201 984000 0 984000 RES 
M 50-43-43-15-30-000-2020-001    202 984000 0 984000 RES 
S 50-43-44-23-07-001-0034-001    4C-1 1009000 25000 984000 RES 
S 50-43-44-23-09-002-0016-001    R2A6 984000 0 984000 RES 
M 50-43-43-14-21-000-4220-001    R-422 1009858 25000 984858 RES 
M 50-43-43-23-10-000-0035-001    4D 985000 0 985000 RES 
C 50-43-43-27-63-000-6010-001    PH-A 1010215 25000 985215 RES 
N 50-43-42-34-04-000-0020-001     985778 0 985778 RES 
S 50-43-44-14-02-001-6030-001    603N 986000 0 986000 RES 
C 50-43-43-27-54-000-0062-001    PH-B 988000 0 988000 RES 
N 50-43-43-02-01-000-0190-001     1014339 25000 989339 RES 
C 50-43-43-27-43-000-0020-001    020 992000 0 992000 RES 
M 50-43-43-23-05-009-0600-001     992425 0 992425 RES 
M 50-43-43-15-27-000-0613-001    613-D 995000 0 995000 RES 
M 50-43-43-22-04-000-0350-001     1020552 25000 995552 RES 
C 50-43-44-11-05-001-1040-001    104N 998000 0 998000 RES 
C 50-43-44-11-05-002-1060-001    106S 998000 0 998000 RES 
S 50-43-44-14-02-001-1040-001    104-N 998000 0 998000 RES 
S 50-43-44-14-02-001-1050-001    105-N 998000 0 998000 RES 
S 50-43-44-14-02-002-1040-001    104S 998000 0 998000 RES 
S 50-43-44-14-02-002-1050-001    105S 998000 0 998000 RES 
S 50-43-44-26-09-001-5040-001    504-N 998000 0 998000 RES 
S 50-43-44-26-09-002-5040-001    504-S 998000 0 998000 RES 
M 50-43-43-14-21-000-4250-001    R-425 1024000 25000 999000 RES 
M 50-43-43-22-01-003-0030-001     1024403 25000 999403 RES 
C 50-43-43-27-69-000-0020-001     1000000 0 1000000 RES 
M 50-43-43-14-10-005-0470-001     1000000 0 1000000 RES 
M 50-43-43-23-10-000-0027-001    3C 1025000 25000 1000000 RES Count Taxable Value Median 
   683 587634459 858000 
   
   
C 50-43-43-26-06-009-4080-001    408E 1025133 25000 1000133 RES 
C 50-43-43-26-06-009-4090-001    409E/410E 1025133 25000 1000133 RES 
S 50-43-44-26-08-001-3050-001    N-305 1026000 25000 1001000 RES 
C 50-43-43-27-43-000-0060-001    6 1002000 0 1002000 RES 
M 50-43-43-23-26-000-6020-001    PH-B 1002000 0 1002000 RES 
S 50-43-44-23-07-003-0024-001    3-B-4 1003000 0 1003000 RES 
M 50-43-43-14-21-000-3240-001    R-324 1004000 0 1004000 RES 
M 50-43-43-14-21-000-4070-001    R-407 1004000 0 1004000 RES 
S 50-43-44-23-07-001-0033-001    3C-1 1004000 0 1004000 RES 
M 50-43-43-23-10-000-0042-001    5D 1005000 0 1005000 RES 
M 50-43-43-23-12-000-0022-001    B-2 1005000 0 1005000 RES 
N 50-43-43-14-05-000-0092-001     1030526 25500 1005026 RES 
C 50-43-43-35-00-001-0340-001     1030176 25000 1005176 RES 
N 50-43-42-34-11-000-0030-001     1030873 25000 1005873 RES 
M 50-43-43-14-10-005-0430-001     1032597 25000 1007597 RES 
M 50-43-43-15-30-000-1010-001    101 1009000 0 1009000 RES 
M 50-43-43-15-30-000-1020-001    102 1009000 0 1009000 RES 
N 50-43-43-14-01-000-0090-001     1034641 25000 1009641 RES 
N 50-43-43-14-00-001-0070-001     1035042 25000 1010042 RES 
N 50-43-42-34-08-000-0450-001     1035302 25000 1010302 RES 
M 50-43-43-22-06-000-2070-001     1035356 25000 1010356 RES 
M 50-43-43-22-01-002-0051-001     1035688 25000 1010688 RES 
M 50-43-43-14-19-000-0110-001     1035692 25000 1010692 RES 
M 50-43-43-23-05-007-0100-001     1035731 25000 1010731 RES 
M 50-43-43-15-33-001-4020-001    402 1036281 25500 1010781 RES 
M 50-43-43-22-05-000-0180-001     1036328 25500 1010828 RES 
S 50-43-44-26-08-001-2050-001    N-205 1011000 0 1011000 RES 
S 50-43-44-26-09-001-4060-001    406-N 1036558 25500 1011058 RES 
C 50-43-43-27-43-000-0100-001    10 1012000 0 1012000 RES 
M 50-43-43-15-27-000-0403-001    403-C 1012000 0 1012000 RES 
S 50-43-44-23-08-001-1060-001    106-N 1017000 0 1017000 RES 
S 50-43-44-26-07-001-6030-001    603-1 1017000 0 1017000 RES 
M 50-43-43-23-05-006-0251-001     1043545 25500 1018045 RES 
M 50-43-43-15-27-000-0702-001    702-B 1044000 25000 1019000 RES 
S 50-43-44-23-07-003-0034-001    4C-3 1044137 25000 1019137 RES 
N 50-43-42-34-07-000-0011-001     1044930 25000 1019930 RES 
N 50-43-43-14-03-000-0030-001     1019977 0 1019977 RES 
M 50-43-43-22-06-000-1110-001     1020423 0 1020423 RES 
M 50-43-43-15-03-000-0730-001     1020534 0 1020534 RES 
N 50-43-43-10-08-000-0160-001     1046277 25000 1021277 RES 
C 50-43-44-11-05-002-2040-001    204S 1048000 25000 1023000 RES 
M 50-43-43-14-07-000-0681-001     1048567 25000 1023567 RES 
C 50-43-43-27-45-000-2030-001    203 1024000 0 1024000 RES 
M 50-43-43-14-21-000-4240-001    R-424 1024000 0 1024000 RES 
M 50-43-43-14-10-005-0460-001     1025394 0 1025394 RES 
M 50-43-43-22-07-000-3601-001     1052021 25500 1026521 RES 
N 50-43-43-14-06-000-0501-001     1052629 25000 1027629 RES 
S 50-43-44-26-09-001-6070-001    PH 607-N 1052680 25000 1027680 RES 
S 50-43-44-26-09-002-6070-001    PH 607-S 1052680 25000 1027680 RES 
C 50-43-43-27-53-000-1030-001    C-103 1030000 0 1030000 RES 
M 50-43-43-23-12-000-0032-001    3B 1030000 0 1030000 RES 
M 50-43-43-14-23-000-7040-001    704 1055750 25000 1030750 RES 
M 50-43-43-22-06-000-0470-001     1032223 0 1032223 RES 
M 50-43-43-15-27-000-0204-001    204-D 1033000 0 1033000 RES 
N 50-43-42-34-05-000-0120-001     1059878 25000 1034878 RES 
N 50-43-43-03-20-000-0090-001     1059918 25000 1034918 RES 
N 50-43-42-34-01-000-0230-001     1060176 25000 1035176 RES 
N 50-43-43-03-12-000-0971-001     1061193 25000 1036193 RES 
M 50-43-43-14-09-000-0090-001     1039044 0 1039044 RES 
S 50-43-44-26-09-001-4030-001    403-N 1064196 25000 1039196 RES 
N 50-43-42-34-08-000-0320-001     1064751 25000 1039751 RES 
M 50-43-43-22-04-000-0440-001     1064948 25000 1039948 RES 
M 50-43-43-15-06-000-0060-001     1040938 0 1040938 RES 
S 50-43-44-26-08-001-4050-001    N-405 1041000 0 1041000 RES 
M 50-43-43-23-10-000-0030-001    3F 1042000 0 1042000 RES 
C 50-43-43-27-62-000-0020-001    2 1042151 0 1042151 RES 
M 50-43-43-22-01-002-0161-001     1067167 25000 1042167 RES 
M 50-43-43-14-21-004-0030-001    PH-3 1067363 25000 1042363 RES 
